id,Aadhaar,Name,Dob,Pan,Salary,Allowences,SelfOrFamily,BankName,BankNumber,PublicOrPrivate
1,999991,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
2,999992,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
3,999993,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
4,999994,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
5,999995,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
6,999996,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
7,999997,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
8,999998,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
9,999999,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
10,9999910,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
11,9999911,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
12,9999912,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
13,9999913,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
14,9999914,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
15,9999915,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
16,9999916,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
17,9999917,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
18,9999918,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
19,9999919,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private
20,9999920,Paul_Gallagher,51,364758374,62000,200,Self,BOI,8475635,Private

